0,1,0,1,2,0,1,2,0,9,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,59,60,60,60,63,60,60,60,60,60,60,60,60,60,73,74,74,75,74,75,74,75,74,75,74,75,74,75,74,75,74,75,74,75,74,75,74,75,74,75,74,75,74,75,74,75,74,75,74,75,74,75,74,75,74,75,74,75,74,75,119,120,120,120,120,120,120,120,120,120,120,120,120,120,120,134,135,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,0
1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,10,10,10,0,1,2,0,10,10,10,1,2,0,1,2,0,1,2,0,1,2,0,1,2,10,10,10,0,1,2,0,10,10,10,1,2,0,1,2,0,1,2,259,260,260,260,64,260,260,260,260,260,260,260,260,260,273,274,274,275,274,275,274,275,274,275,274,275,274,275,274,275,274,275,274,275,274,275,274,275,274,275,274,275,274,275,274,275,274,275,274,275,274,275,274,275,274,275,274,275,274,275,120,121,120,120,120,120,120,120,120,120,120,120,120,120,120,135,335,336,336,338,336,340,341,336,336,341,342,336,336,341,342,336,336,341,342,336,336,341,342,336,336,341,342,336,336,341,342,336,336,341,342,336,336,341,342,336,336,341,342,336,336,341,342,336,336,341,342,336,336,341,342,336,336,341,342,336,336,341,342,336,0
10,10,10,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,459,460,460,460,64,460,460,460,460,460,460,460,460,460,74,75,475,476,477,478,479,480,480,480,480,480,480,480,487,488,488,488,480,480,480,488,488,488,488,488,480,480,480,488,488,488,488,506,480,480,480,480,480,512,476,477,513,480,480,518,120,121,120,120,120,120,120,120,120,120,120,120,120,120,120,135,336,336,336,336,341,540,541,342,341,541,542,342,341,541,542,342,341,541,542,342,341,541,542,342,341,541,542,342,341,541,542,342,341,541,542,342,341,541,542,342,341,541,542,342,341,541,542,342,341,541,542,342,341,541,542,342,341,541,542,342,341,541,542,342,0
1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0,1,2,60,60,60,60,64,64,60,60,60,60,60,60,60,60,274,275,675,676,677,678,480,480,480,480,480,480,488,480,480,480,480,488,488,488,488,488,695,696,697,480,699,700,701,702,700,700,702,706,702,702,702,710,702,711,713,714,711,711,700,718,719,720,721,722,720,720,720,720,720,720,720,720,720,720,720,734,735,736,737,736,739,740,741,742,740,741,742,743,740,741,742,743,740,741,742,743,740,741,742,743,740,741,742,743,740,741,742,743,740,741,742,743,740,741,742,743,740,741,742,743,740,741,742,743,740,741,742,743,740,741,742,743,740,741,742,743,740,741,742,743,799
800,801,800,801,802,800,801,802,800,801,802,800,801,802,814,815,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,815,815,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,859,860,860,860,863,864,860,860,860,860,860,860,860,860,873,874,700,700,700,700,879,880,881,882,700,702,885,700,700,700,889,890,891,700,700,700,895,896,897,700,700,700,711,711,886,711,702,700,702,700,700,700,702,711,711,711,711,700,700,719,720,720,720,720,722,722,722,722,720,720,720,720,720,720,720,735,737,737,737,736,737,940,941,737,737,941,942,737,737,941,942,737,737,941,942,737,737,941,942,737,737,941,942,737,737,941,942,737,737,941,942,737,737,941,942,737,737,941,942,737,737,941,942,737,737,941,942,737,737,941,942,737,737,941,942,737,737,941,942,737,800
801,802,800,801,802,800,801,802,800,801,802,815,815,815,815,815,815,815,815,815,815,815,815,815,815,815,815,815,815,815,815,815,815,815,815,815,815,815,815,815,815,815,815,815,815,815,815,815,815,815,815,815,815,815,815,815,815,815,815,1059,1060,1060,1060,864,1060,1060,1060,1060,1060,1060,1060,1060,1060,1073,1074,711,711,711,700,1079,1080,1081,1082,700,702,700,700,700,886,1089,1090,1091,1092,700,700,1095,1096,1097,700,886,700,711,711,711,702,700,702,1107,1108,1109,1110,702,702,700,700,700,700,700,719,720,720,720,720,720,720,722,720,1127,722,722,722,1128,720,720,735,737,737,737,737,941,1140,1141,942,941,1141,1142,942,941,1141,1142,942,941,1141,1142,942,941,1141,1142,942,941,1141,1142,942,941,1141,1142,942,941,1141,1142,942,941,1141,1142,942,941,1141,1142,942,941,1141,1142,942,941,1141,1142,942,941,1141,1142,942,941,1141,1142,942,941,1141,1142,942,815
815,815,815,815,815,815,815,815,815,815,815,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,1259,1260,1260,1260,864,1260,1260,1260,864,1260,1260,1260,1260,1260,874,875,700,700,711,711,1279,1280,1281,1282,700,702,702,700,700,700,1289,1290,1291,1292,1293,1294,1295,700,700,700,886,700,700,700,702,702,702,702,1307,1308,1309,1310,700,700,700,700,886,886,700,719,720,720,720,720,720,720,720,720,720,720,720,722,720,720,720,735,1335,737,737,736,740,741,742,743,740,741,742,743,740,741,742,743,740,741,742,743,740,741,742,743,740,741,742,743,740,741,742,743,740,741,742,743,740,741,742,743,740,741,742,743,740,741,742,743,740,741,742,743,740,741,742,743,740,741,742,743,740,741,742,743,800
801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,860,860,860,860,864,860,860,860,864,860,860,860,860,860,1074,1075,700,711,711,711,1479,1480,1481,1482,700,702,1485,1486,1487,700,700,700,700,1492,1493,1494,1495,1496,1497,700,700,700,700,700,1486,1487,1488,700,1507,1508,1509,1510,1493,700,1513,1514,700,700,700,719,720,720,720,720,720,720,720,720,720,720,720,720,720,720,720,735,1336,736,737,737,737,941,942,737,737,941,942,737,737,941,942,737,737,941,942,737,737,941,942,737,737,941,942,737,737,941,942,737,737,941,942,737,737,941,942,737,737,941,942,737,737,941,942,737,737,941,942,737,737,941,942,737,737,941,942,737,737,941,942,737,800
801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,1060,1060,1060,1060,864,1060,1060,1060,864,1060,1060,1060,1060,1060,874,875,700,700,700,700,700,700,700,700,702,702,896,897,898,700,700,700,700,1692,1693,1694,1695,1696,1697,700,1699,1700,1701,700,896,897,898,700,1707,1708,1709,1710,1693,700,1713,1714,702,702,702,719,720,720,720,722,720,720,720,720,720,720,720,720,720,720,720,735,1336,737,737,737,941,1141,1142,942,941,1141,1142,942,941,1141,1142,942,941,1141,1142,942,941,1141,1142,942,941,1141,1142,942,941,1141,1142,942,941,1141,1142,942,941,1141,1142,942,941,1141,1142,942,941,1141,1142,942,941,1141,1142,942,941,1141,1142,942,941,1141,1142,942,941,1141,1142,942,800
801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,800,801,802,1260,1260,1260,1260,864,1260,1260,1260,1260,1260,1260,1260,1260,1260,1074,1075,700,700,700,700,1879,1880,700,700,702,700,1096,1097,1098,700,700,700,700,700,1893,1894,1894,700,700,700,1899,1900,1901,700,1096,1097,1905,700,1907,1908,1909,1910,1911,700,700,700,702,702,702,719,720,720,720,722,720,720,720,720,720,720,720,720,720,720,720,735,1336,737,737,737,740,741,742,743,740,741,742,743,740,741,742,743,740,741,742,743,740,741,742,743,740,741,742,743,740,741,742,743,740,741,742,743,740,741,742,743,740,741,742,743,740,741,742,743,740,741,742,743,740,741,742,743,740,741,742,743,740,741,742,743,1999
